( |-----------------------------------------------------------------------------------------------------------|
( |                                                                                                           |
( |  ARQUIVO:       BNT2.dat                                                                                  |
( |  FORMATO:       PROGRAMA ANATEM 11.10.00 (AGO/20)                                                         |
( |                 PROGRAMA ANAREDE 11.04.00 (AGO/20)                                                        |
( |  VERSÃO:        JUL/2020 R0                                                                               |
( |  EMISSÃO:       ONS - DPL/EG/EGE/EGS/EGN                                                                  |
( |  COMPONENTES:   ANAT0                                                                                     |
( |                                                                                                           |
( |------------------------------------------ CONTATOS -------------------------------------------------------|
( |                                                                                                           |
( |  Equipe BD Anatem - ONS        -    bdanatem@ons.org.br                                                   |
( |                                                                                                           |
( |-----------------------------------------------------------------------------------------------------------|
( |  SITE - https://sintegre.ons.org.br/sites/8/93/paginas/servicos/produtos.aspx                             |
( |-----------------------------------------------------------------------------------------------------------|
( |  NOTA: Todas as informações aqui apresentadas foram fornecidas oficialmente pelos Agentes                 |
( |        responsáveis, como sendo representativas dos equipamentos instalados em campo.                     |
( |-----------------------------------------------------------------------------------------------------------|
(
( Nb) Gp ( Nome ) Uni (Ra ) (X'd) (X"d) (MVA)
   10 10 ANGRA1UN   1       48.80 33.70 760.0
   11 10 ANGRA2UN   1       46.90 31.90 1458.
   12 10 LCBARRUH   6       24.00 21.50 184.0
   13 10 LCBARRSI           24.00 21.50 184.0
   14 10 FUNIL-UH   3       31.90 28.12 74.00
   16 10 FURNASUH   8       29.00 20.50 160.0
   17 10 FURNASSI           29.00 20.50 160.0
   18 10 ITUMBIUH   6       26.00 20.00 365.0
   19 10 ITUMBISI           26.00 20.00 365.0
   20 10 MARIMBUH   8       33.00 25.00 190.0
   21 10 MANSO-UH   4       30.00 21.00 55.50
   22 10 M.MORAUH   6       34.00 27.00 52.00
   24 10 M.MORBUH   4       35.00 27.00 50.00
   28 10 PCOLOMUH   4       29.28 19.52 82.00
   30 10 SCRU19UT           34.30 28.70 256.0
   31 10 SCRU13UT           18.70 11.10 96.00
   32 10 SCRU16UT           24.70 18.60 235.0
   35 10 CORUMBUH   3       28.99 25.01 139.0
   36 10 S.MESAUH   3       28.90 27.20 472.6
   37 10 S.MESASI           28.90 27.20 472.6
   44 10 GRAJA1SI   1       44.00 20.00 200.0
   38 10 GRAJA2SI   1       44.00 20.00 200.0
   47 10 VITOR2SI   1       43.00 25.00 60.00
   41 10 VITOR1SI   1       43.00 25.00 60.00
   48 10 IBIUNASI   4       37.00 22.00 300.0
   50 10 TPRETOSI   1       37.00 25.00 300.0
 9446 10 BATALHUH   2       33.00 27.00 29.17
44323 10 NPECANUH   4       31.31 20.02 71.00
  250 10 NPECANUH   2       34.28 20.57 48.00
44322 10 FONTESUH   1       37.71 21.37 44.00
  253 10 FONTESUH   2       37.71 21.37 44.00
  255 10 PPASSOUH   2       32.73 22.73 50.00
  257 10 I.POMBUH   2       38.48 27.80 26.00
  257 20 I.POMBUH   1       37.79 20.21 29.00
  257 30 I.POMBUH   1       33.60 27.70 49.00
  257 40 I.POMBUH   1       35.20 29.00 50.00
  269 10 CSN---UT   2 .0928 26.80 19.30 147.0
  300 10 EMBORCUH   4       31.99 25.59 313.6
 9034 10 EMBORCSI           31.99 25.59 313.6
  301 10 JAGUARUH   4       27.80 14.00 112.0
  302 10 NPONTEUH   3       30.00 20.00 179.0
 9035 10 NPONTESI           30.00 20.00 179.0
  303 10 SSIMAOUH   6       24.99 18.96 283.0
  304 10 T.MAR-UH   6       26.01 16.50 68.00
  305 10 V.GRD-UH   4       32.00 22.70 100.0
 9037 10 VGRANDSI           32.00 22.70 100.0
  306 10 GUILMAUH   4       30.00 22.00 38.90
  312 10 MIRANDUH   3       27.00 21.00 137.0
  343 10 IGARAPUH   5       38.60 35.00 44.20
  346 10 MESQUISI   1       34.50 21.00 100.0
  354 10 NEVE1-SI   1       34.50 21.00 100.0
  355 10 NEVE2-SI   1       34.50 21.00 100.0
(
 1500 10 IGARAPUT           24.00 19.00 156.3
 1594 10 PESTREUH   2       34.00 26.00 62.00
 4044 10 FUNGRDUH   3       27.00 20.00 63.20
 4039 10 QUEIMAUH   3       30.00 24.00 37.00
 4064 10 IRAPE-UH   3       31.00 26.00 140.0
 9041 10 IRAPE-SI           31.00 26.00 140.0
 4042 10 AIMOREUH   3       30.00 26.00 116.0
 1496 10 BAGUARUH   4       42.00 34.30 39.04
(
( Nb) Gp ( Nome ) Uni (Ra ) (X'd) (X"d) (MVA)
